iter	Passed	Remaining
0	1	121
1	2	119
2	3	109
3	4	102
4	5	100
5	6	100
6	7	98
7	8	99
8	9	98
9	10	97
10	11	96
11	12	94
12	13	93
13	15	92
14	16	91
15	17	90
16	18	89
17	19	87
18	20	86
19	21	85
20	22	83
21	23	82
22	24	81
23	25	80
24	26	79
25	27	79
26	28	78
27	29	76
28	30	75
29	31	74
30	32	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	44	60
42	45	59
43	46	58
44	47	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	73	34
68	74	33
69	75	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	84	23
78	85	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	103	5
95	104	4
96	105	3
97	105	2
98	106	1
99	107	0
